BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CRASH DATE,CRASH TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,_id
BROOKLYN,Failure to Yield Right-of-Way,Unspecified,3/26/2022,22:54,0,0,Taxi,Sedan,65226c0c27407f3e1fedf959
BROOKLYN,Driver Inattention/Distraction,Unspecified,3/26/2022,21:00,0,0,Sedan,,65226c0c27407f3e1fedf95a
BROOKLYN,Driver Inattention/Distraction,Unspecified,3/26/2022,17:29,1,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf95b
MANHATTAN,Failure to Yield Right-of-Way,Unspecified,3/26/2022,2:10,1,0,Bike,,65226c0c27407f3e1fedf95c
BRONX,Driver Inattention/Distraction,Unspecified,3/25/2022,0:00,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf95d
BRONX,Unsafe Speed,Unspecified,3/26/2022,4:00,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf95e
QUEENS,Unsafe Speed,,3/26/2022,4:34,0,0,Sedan,,65226c0c27407f3e1fedf95f
,Failure to Yield Right-of-Way,,3/9/2022,11:56,1,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf960
BROOKLYN,Passing or Lane Usage Improper,Unspecified,3/26/2022,14:41,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf961
QUEENS,Unspecified,Unspecified,3/26/2022,18:00,0,0,Sedan,Sedan,65226c0c27407f3e1fedf962
,Driver Inattention/Distraction,Unspecified,3/26/2022,13:30,0,0,Sedan,,65226c0c27407f3e1fedf963
STATEN ISLAND,Traffic Control Disregarded,Unspecified,3/26/2022,13:20,1,0,Station Wagon/Sport Utility Vehicle,4 dr sedan,65226c0c27407f3e1fedf964
MANHATTAN,Following Too Closely,Unspecified,3/25/2022,21:35,0,0,Taxi,Sedan,65226c0c27407f3e1fedf965
QUEENS,Unspecified,,3/23/2022,21:00,0,0,Sedan,,65226c0c27407f3e1fedf966
QUEENS,Unspecified,,3/26/2022,12:00,0,0,Sedan,,65226c0c27407f3e1fedf967
BROOKLYN,Following Too Closely,Unspecified,3/26/2022,13:28,1,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf968
QUEENS,Unsafe Speed,Unspecified,3/26/2022,19:12,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf969
QUEENS,Unsafe Speed,,3/26/2022,21:29,1,0,Bike,,65226c0c27407f3e1fedf96a
